timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,latitude,longitude,altitude,satellite_count,position_lock,temperature,pressure,barometer_altitude,rocket_state,l1_extension,l2_extension,
1440000,-0.042456,-1.01089,-0.016104,3.85,0.63,4.13,-0.17024,-0.15932,0.17276,41.4877,-89.5062,183.314,19,1,21.22,981.41,274.279,1,0,0,
1440010,-0.042456,-1.01089,-0.016104,3.85,0.63,4.13,-0.17024,-0.15932,0.17276,41.4877,-89.5062,183.314,19,1,21.22,981.41,274.279,1,0,0,
1440020,-0.042456,-1.01089,-0.016104,3.85,0.63,4.13,-0.17024,-0.15932,0.17276,41.4877,-89.5062,183.314,19,1,21.22,981.41,274.279,1,0,0,
1440030,-0.0366,-1.01089,-0.01464,4.2,0.07,3.92,-0.17234,-0.15652,0.16884,41.4877,-89.5062,183.314,19,1,21.21,981.34,274.884,1,0,0,
1440040,-0.0366,-1.01089,-0.01464,4.2,0.07,3.92,-0.17234,-0.15652,0.16884,41.4877,-89.5062,183.314,19,1,21.21,981.34,274.884,1,0,0,
1440050,-0.0366,-1.01089,-0.01464,4.2,0.07,3.92,-0.17234,-0.15652,0.16884,41.4877,-89.5062,183.314,19,1,21.21,981.34,274.884,1,0,0,
1440060,-0.037332,-1.0043,-0.016104,4.34,0.42,3.92,-0.17304,-0.15568,0.16954,41.4877,-89.5062,183.314,19,1,21.22,981.39,274.455,1,0,0,
1440070,-0.037332,-1.0043,-0.016104,4.34,0.42,3.92,-0.17304,-0.15568,0.16954,41.4877,-89.5062,183.314,19,1,21.22,981.39,274.455,1,0,0,
1440080,-0.050508,-1.01236,-0.008784,4.55,0.21,3.85,-0.16912,-0.15624,0.17052,41.4877,-89.5062,183.314,19,1,21.22,981.5,273.489,1,0,0,
1440090,-0.050508,-1.01236,-0.008784,4.55,0.21,3.85,-0.16912,-0.15624,0.17052,41.4877,-89.5062,183.314,19,1,21.22,981.5,273.489,1,0,0,
1440100,-0.050508,-1.01236,-0.008784,4.55,0.21,3.85,-0.16912,-0.15624,0.17052,41.4877,-89.5062,183.314,19,1,21.22,981.5,273.489,1,0,0,
1440110,-0.03294,-1.00796,-0.027084,3.64,0.35,3.71,-0.16478,-0.15834,0.1687,41.4877,-89.5062,183.295,19,1,21.22,981.37,274.63,1,0,0,
1440120,-0.03294,-1.00796,-0.027084,3.64,0.35,3.71,-0.16478,-0.15834,0.1687,41.4877,-89.5062,183.295,19,1,21.22,981.37,274.63,1,0,0,
1440130,-0.0366,-1.01675,-0.01098,4.27,-0.28,3.92,-0.17136,-0.16254,0.17164,41.4877,-89.5062,183.295,19,1,21.22,981.4,274.367,1,0,0,
1440140,-0.0366,-1.01675,-0.01098,4.27,-0.28,3.92,-0.17136,-0.16254,0.17164,41.4877,-89.5062,183.295,19,1,21.22,981.4,274.367,1,0,0,
1440150,-0.0366,-1.01675,-0.01098,4.27,-0.28,3.92,-0.17136,-0.16254,0.17164,41.4877,-89.5062,183.295,19,1,21.22,981.4,274.367,1,0,0,
1440160,-0.041724,-1.01162,-0.0183,4.2,-0.35,3.92,-0.16926,-0.15974,0.17696,41.4877,-89.5062,183.295,19,1,21.22,981.4,274.367,1,0,0,
1440170,-0.041724,-1.01162,-0.0183,4.2,-0.35,3.92,-0.16926,-0.15974,0.17696,41.4877,-89.5062,183.295,19,1,21.22,981.4,274.367,1,0,0,
1440180,-0.041724,-1.01162,-0.0183,4.2,-0.35,3.92,-0.16926,-0.15974,0.17696,41.4877,-89.5062,183.295,19,1,21.22,981.4,274.367,1,0,0,
1440190,-0.048312,-1.01602,-0.02196,4.55,-0.77,3.57,-0.1715,-0.15708,0.16828,41.4877,-89.5062,183.295,19,1,21.19,981.44,273.987,1,0,0,
1440200,-0.048312,-1.01602,-0.02196,4.55,-0.77,3.57,-0.1715,-0.15708,0.16828,41.4877,-89.5062,183.295,19,1,21.19,981.44,273.987,1,0,0,
1440210,-0.048312,-1.01602,-0.02196,4.55,-0.77,3.57,-0.1715,-0.15708,0.16828,41.4877,-89.5062,183.295,19,1,21.19,981.44,273.987,1,0,0,
1440220,-0.048312,-1.01602,-0.02196,4.55,-0.77,3.57,-0.1715,-0.15708,0.16828,41.4877,-89.5062,183.295,19,1,21.19,981.44,273.987,1,0,0,
1440230,-0.049044,-1.01382,-0.023424,4.13,-0.49,3.57,-0.17108,-0.15456,0.16968,41.4877,-89.5062,183.295,19,1,21.2,981.38,274.523,1,0,0,
1440240,-0.049044,-1.01382,-0.023424,4.13,-0.49,3.57,-0.17108,-0.15456,0.16968,41.4877,-89.5062,183.295,19,1,21.2,981.38,274.523,1,0,0,
