# Time (s),Drag coefficient ,Friction drag coefficient ,Pressure drag coefficient ,Base drag coefficient ,Axial drag coefficient ,Normal force coefficient ,Pitch moment coefficient ,Yaw moment coefficient ,Side force coefficient ,Roll moment coefficient ,Roll forcing coefficient ,Roll damping coefficient ,Pitch damping coefficient ,Mach number 
1190.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.032
1147.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.033
1106.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.034
0.094,0.867,0.7,0.047,0.12,0.867,0,0,0,0,0,0,0,0,0.035
1033.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.036
999.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.037
968.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.038
938.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.039
0.104,0.851,0.684,0.047,0.12,0.851,0,0,0,0,0,0,0,0,0.04
883.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.041
0.109,0.844,0.676,0.047,0.12,0.844,0,0,0,0,0,0,0,0,0.042
833.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.043
810.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.044
788.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.045
0.117,0.834,0.667,0.047,0.12,0.834,0,0,0,0,0,0,0,0,0.046
748.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.047
730.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.048
712.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.049
0.125,0.824,0.657,0.047,0.12,0.824,0,0,0,0,0,0,0,0,0.05
679.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.051
663.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.052
648.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.053
633.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.054
0.135,0.814,0.647,0.047,0.12,0.814,0,0,0,0,0,0,0,0,0.055
605.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.056
592.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.057
579.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.058
567.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.059
555.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.06
0.147,0.804,0.636,0.047,0.12,0.804,0,0,0,0,0,0,0,0,0.061
533.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.062
522.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.063
512.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.064
501.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.065
0.157,0.796,0.628,0.047,0.121,0.796,0,0,0,0,0,0,0,0,0.066
482.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.067
473.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.068
464.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.069
455.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.07
0.167,0.789,0.62,0.048,0.121,0.789,0,0,0,0,0,0,0,0,0.071
439.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.072
431.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.073
423.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.074
415.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.075
0.177,0.782,0.614,0.048,0.121,0.782,0,0,0,0,0,0,0,0,0.076
401.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.077
394.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.078
387.327,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.079
380.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.08
0.187,0.776,0.607,0.048,0.121,0.776,0,0,0,0,0,0,0,0,0.081
367.827,440.722,0,440.722,0,440.722,0,0,0,0,0,0,0,0,0.082
