Time (s),Thrust (N),Theta,Phi
0,2651.855,20,2
0.249,2780.285,20,2
0.416,2820.733,20,2
0.583,2843.01,20,2
0.751,2847.765,20,2
0.918,2851.215,20,2
1.084,2854.737,20,2
1.252,2861.69,20,2
1.42,2858.088,20,2
1.586,2851.086,20,2
1.754,2844.622,20,2
1.922,2830.855,20,2
2.089,2804.711,20,2
2.255,2765.796,20,2
2.423,2710.509,20,2
2.591,2648.262,20,2
2.757,2586.91,20,2
2.925,2520.794,20,2
3.093,2462.217,20,2
3.259,2419.937,20,2
3.426,1894.936,20,2
3.594,808.043,20,2
3.761,282.403,20,2
3.928,97.876,20,2
4.096,24.492,20,2
4.264,0,20,2
