Time (s),Thrust (N),Theta,Phi
0.009,20.408,0,0
0.044,7112.245,0,0
0.063,6734.694,0,0
0.078,6897.959,0,0
0.094,6612.245,0,0
0.109,6765.306,0,0
0.125,6540.816,0,0
0.147,6581.633,0,0
0.194,6520.408,0,0
0.35,6795.918,0,0
0.428,7091.837,0,0
0.563,7285.714,0,0
0.694,7408.163,0,0
0.988,7581.633,0,0
1.266,7622.449,0,0
1.491,7724.49,0,0
1.581,7653.061,0,0
1.641,7540.816,0,0
1.684,7500.0,0,0
1.716,7336.735,0,0
1.784,7224.49,0,0
1.938,6785.714,0,0
2.138,6326.531,0,0
2.491,5897.959,0,0
2.6,5704.082,0,0
2.919,3540.816,0,0
3.022,3408.163,0,0
3.138,2887.755,0,0
3.3,2234.694,0,0
3.388,1673.469,0,0
3.441,1489.796,0,0
3.544,1418.367,0,0
3.609,1295.918,0,0
3.688,816.327,0,0
3.778,653.061,0,0
3.819,581.633,0,0
3.853,489.796,0,0
3.897,285.714,0,0
3.981,20.408,0,0
3.997,0.0,0,0
