Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,B,0,0,0,0,0,0,16.7,0,0,52.44,60.82679,2.705415,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,B,0.010,0.010,0,1.176002,0,53.37485,16.7,0,0,52.43048,60.82679,2.708484,70.6572719071195,70.6572719068916,0.00017947442054542,17.6181760518257,0.7065727,0.000001794744,89.9999,89.9999,0.003532863,0.00000000897372
0.02,B,0.02,0.01561588,0,1.261177,0,98.92587,16.69879,0.02316873,0,52.42097,60.82679,2.711554,158.384507054768,158.384507054419,0.000332587328577379,17.7523805199432,2.290418,0.000005120618,89.9999,89.9999,0.01851782,0.00000004355053
0.03,B,0.03,0.01573484,0,1.262235,0,117.8327,16.69519,0.02354277,0,52.41146,60.82679,2.714622,194.860985577642,194.860985577239,0.000396250786399934,18.1071946310558,4.239028,0.000009083125,89.9999,89.9999,0.05116504,0.0000001145692
0.04,B,0.04,0.01604933,0,1.26494,0,117.4977,16.69013,0.02454574,0,52.40194,60.82679,2.717691,194.282118451322,194.28211845092,0.000395240474978398,18.6578813169478,6.181849,0.00001303553,89.9999,89.9999,0.1032694,0.0000002251625
0.05,B,0.05,0.01653743,0,1.268887,0,110.6717,16.68466,0.02614272,0,52.39243,60.82679,2.720761,181.190331999345,181.190331998962,0.000372391001093989,19.3339463205929,7.993752,0.00001675944,89.9999,89.9999,0.1741474,0.0000003741374
0.05999999,B,0.05999999,0.01713667,0,1.27335,0,103.8457,16.67945,0.02817027,0,52.38292,60.82679,2.72383,168.08604331245,168.086043312087,0.000349519702017182,20.0873007071559,9.674612,0.00002025464,89.9999,89.9999,0.2624893,0.0000005592078
0.06999999,B,0.06999999,0.01780441,0,1.277876,0,97.74581,16.67455,0.03051641,0,52.3734,60.82679,2.726899,156.370386326194,156.370386325848,0.000329072023125323,20.8854371424543,11.23832,0.00002354536,89.9999,89.9999,0.3670539,0.0000007782078
0.07999999,B,0.07999999,0.01851185,0,1.282218,0,98.1804,16.66995,0.0331016,0,52.36389,60.82679,2.729968,157.256099045101,157.256099044753,0.000330617883508355,21.7720098058843,12.81088,0.00002685154,89.9999,89.9999,0.4872999,0.000001030192
0.08999999,B,0.08999999,0.01929767,0,1.286557,0,98.61498,16.66548,0.03609315,0,52.35437,60.82679,2.733037,158.140180583207,158.140180582858,0.000332160894812274,22.7385049015759,14.39228,0.00003017315,89.9999,89.9999,0.6233157,0.000001315316
0.09999999,B,0.09999999,0.02015433,0,1.290781,0,99.04958,16.66098,0.03949785,0,52.34486,60.82679,2.736106,159.024210423857,159.024210423507,0.000333703816270532,23.7769414475811,15.98252,0.00003351019,89.9999,89.9999,0.7751897,0.000001633732
0.11,B,0.11,0.02107477,0,1.294807,0,99.4842,16.65647,0.04332239,0,52.33535,60.82679,2.739175,159.908175272394,159.908175272043,0.000335246631110154,24.8800075491409,17.5816,0.00003686266,89.9999,89.9999,0.9430103,0.000001985597
0.12,B,0.12,0.02205248,0,1.298582,0,99.9702,16.65193,0.04757336,0,52.32583,60.82679,2.742244,160.891302846112,160.891302845759,0.000336962511470143,26.0418492005318,19.19051,0.00004023228,89.9999,89.9999,1.126871,0.000002371071
0.13,B,0.13,0.0230823,0,1.302076,0,100.4619,16.64738,0.05226024,0,52.31631,60.82679,2.745313,161.885413404746,161.885413404392,0.000338697561138743,27.256775645366,20.80936,0.00004361926,89.9999,89.9999,1.32687,0.000002790329
0.14,B,0.14,0.02415917,0,1.305276,0,100.9536,16.6428,0.05739055,0,52.3068,60.82679,2.748382,162.879480536053,162.879480535697,0.000340432535431995,28.5197036979308,22.43816,0.00004702359,89.9999,89.9999,1.543108,0.000003243543
0.15,B,0.15,0.02527859,0,1.30818,0,101.4454,16.6382,0.06297153,0,52.29729,60.82679,2.751451,163.873553350243,163.873553349886,0.000342167520063734,29.8261500595548,24.07689,0.00005044527,89.9999,89.9999,1.775683,0.000003730888
0.16,B,0.16,0.02643659,0,1.310795,0,101.9371,16.63357,0.06901021,0,52.28777,60.82679,2.75452,164.867525870764,164.867525870405,0.000343902330035321,31.1722259104047,25.72557,0.00005388429,89.9999,89.9999,2.024695,0.000004252535
0.17,B,0.17,0.02762972,0,1.313134,0,102.4289,16.62893,0.07551375,0,52.27826,60.82679,2.757589,165.861455041304,165.861455040944,0.00034563706476759,32.554518888056,27.38419,0.00005734066,89.9999,89.9999,2.290244,0.00000480866
0.18,B,0.18,0.02885495,0,1.315214,0,102.9206,16.62426,0.08248924,0,52.26875,60.82679,2.760658,166.855297250144,166.855297249782,0.000347371641666316,33.9700553706838,29.05274,0.00006081438,89.9999,89.9999,2.572428,0.000005399435
0.19,B,0.19,0.03010965,0,1.317053,0,103.4124,16.61956,0.0899437,0,52.25923,60.82679,2.763727,167.849081320881,167.849081320518,0.000349106123992241,35.4162615278105,30.73123,0.00006430544,89.9999,89.9999,2.871348,0.000006025034
0.2,B,0.2,0.03139153,0,1.31867,0,103.6573,16.61485,0.09788431,0,52.24972,60.82679,2.766796,168.36467616046,168.364676160096,0.000350006009111508,36.8866866489585,32.41488,0.0000678055,89.9999,89.9999,3.187079,0.000006685589
0.21,B,0.21,0.0326949,0,1.320079,0,103.8404,16.61012,0.1062936,0,52.2402,60.82679,2.769865,168.760318777701,168.760318777337,0.000350696531948131,38.3781509735457,34.10248,0.00007131247,89.9999,89.9999,3.519666,0.000007381178
0.22,B,0.22,0.03401691,0,1.321299,0,104.0236,16.60538,0.1151684,0,52.23069,60.82679,2.772934,169.155420624763,169.155420624398,0.000351386117621108,39.888804860962,35.79404,0.00007482633,89.9999,89.9999,3.869148,0.000008111872
0.23,B,0.23,0.03535594,0,1.32235,0,104.2068,16.60063,0.1245112,0,52.22118,60.82679,2.776003,169.549929573717,169.549929573351,0.00035207466214669,41.4170156709198,37.48954,0.00007834708,89.9999,89.9999,4.235566,0.00000887774
0.24,B,0.24,0.03671053,0,1.323247,0,104.39,16.59587,0.1343242,0,52.21166,60.82679,2.779072,169.943918573878,169.943918573512,0.000352762305852791,42.9613763200759,39.18898,0.00008187471,89.9999,89.9999,4.618959,0.000009678849
