mach,alpha_deg,protuberance,CD_Power_Off,CD_Power_On,CA_Power_Off,CA_Power_On,CN_Total,CP_Total
0.01,0,0,0.476,0.451,0.476,0.451,0,93.463
0.01,0,0.12,0.51,0.486,0.51,0.486,0,93.463
0.01,0,0.25,0.545,0.52,0.545,0.52,0,93.463
0.01,0,0.37,0.58,0.555,0.58,0.555,0,93.463
0.01,0,0.49,0.614,0.59,0.614,0.59,0,93.463
0.01,0,0.61,0.649,0.624,0.649,0.624,0,93.463
0.01,0,0.74,0.684,0.659,0.684,0.659,0,93.463
0.01,0,0.86,0.718,0.693,0.718,0.693,0,93.463
0.01,0,1,0.758,0.734,0.758,0.734,0,93.463
0.02,0,0,0.538,0.513,0.538,0.513,0,93.463
0.02,0,0.12,0.572,0.548,0.572,0.548,0,93.463
0.02,0,0.25,0.607,0.582,0.607,0.582,0,93.463
0.02,0,0.37,0.642,0.617,0.642,0.617,0,93.463
0.02,0,0.49,0.676,0.651,0.676,0.651,0,93.463
0.02,0,0.61,0.711,0.686,0.711,0.686,0,93.463
0.02,0,0.74,0.745,0.721,0.745,0.721,0,93.463
0.02,0,0.86,0.78,0.755,0.78,0.755,0,93.463
0.02,0,1,0.82,0.796,0.82,0.796,0,93.463
0.03,0,0,0.547,0.522,0.547,0.522,0,93.463
0.03,0,0.12,0.582,0.557,0.582,0.557,0,93.463
0.03,0,0.25,0.616,0.592,0.616,0.592,0,93.463
0.03,0,0.37,0.651,0.626,0.651,0.626,0,93.463
0.03,0,0.49,0.686,0.661,0.686,0.661,0,93.463
0.03,0,0.61,0.72,0.696,0.72,0.696,0,93.463
0.03,0,0.74,0.755,0.73,0.755,0.73,0,93.463
0.03,0,0.86,0.79,0.765,0.79,0.765,0,93.463
0.03,0,1,0.83,0.805,0.83,0.805,0,93.463
0.04,0,0,0.547,0.522,0.547,0.522,0,93.463
0.04,0,0.12,0.581,0.557,0.581,0.557,0,93.463
0.04,0,0.25,0.616,0.591,0.616,0.591,0,93.463
0.04,0,0.37,0.651,0.626,0.651,0.626,0,93.463
0.04,0,0.49,0.685,0.661,0.685,0.661,0,93.463
0.04,0,0.61,0.72,0.695,0.72,0.695,0,93.463
0.04,0,0.74,0.755,0.73,0.755,0.73,0,93.463
0.04,0,0.86,0.789,0.765,0.789,0.765,0,93.463
0.04,0,1,0.829,0.805,0.829,0.805,0,93.463
0.05,0,0,0.544,0.519,0.544,0.519,0,93.463
0.05,0,0.12,0.578,0.554,0.578,0.554,0,93.463
0.05,0,0.25,0.613,0.588,0.613,0.588,0,93.463
0.05,0,0.37,0.648,0.623,0.648,0.623,0,93.463
0.05,0,0.49,0.682,0.658,0.682,0.658,0,93.463
0.05,0,0.61,0.717,0.692,0.717,0.692,0,93.463
0.05,0,0.74,0.752,0.727,0.752,0.727,0,93.463
0.05,0,0.86,0.786,0.762,0.786,0.762,0,93.463
0.05,0,1,0.826,0.802,0.826,0.802,0,93.463
0.06,0,0,0.54,0.515,0.54,0.515,0,93.463
0.06,0,0.12,0.575,0.55,0.575,0.55,0,93.463
0.06,0,0.25,0.609,0.585,0.609,0.585,0,93.463
0.06,0,0.37,0.644,0.619,0.644,0.619,0,93.463
0.06,0,0.49,0.679,0.654,0.679,0.654,0,93.463
0.06,0,0.61,0.713,0.689,0.713,0.689,0,93.463
0.06,0,0.74,0.748,0.723,0.748,0.723,0,93.463
0.06,0,0.86,0.782,0.758,0.782,0.758,0,93.463
0.06,0,1,0.823,0.798,0.823,0.798,0,93.463
0.07,0,0,0.536,0.511,0.536,0.511,0,93.463
0.07,0,0.12,0.571,0.546,0.571,0.546,0,93.463
0.07,0,0.25,0.605,0.581,0.605,0.581,0,93.463
0.07,0,0.37,0.64,0.615,0.64,0.615,0,93.463
0.07,0,0.49,0.675,0.65,0.675,0.65,0,93.463
0.07,0,0.61,0.709,0.685,0.709,0.685,0,93.463
0.07,0,0.74,0.744,0.719,0.744,0.719,0,93.463
0.07,0,0.86,0.779,0.754,0.779,0.754,0,93.463
0.07,0,1,0.819,0.794,0.819,0.794,0,93.463
0.08,0,0,0.532,0.508,0.532,0.508,0,93.463
0.08,0,0.12,0.567,0.542,0.567,0.542,0,93.463
0.08,0,0.25,0.602,0.577,0.602,0.577,0,93.463
0.08,0,0.37,0.636,0.612,0.636,0.612,0,93.463
0.08,0,0.49,0.671,0.646,0.671,0.646,0,93.463
0.08,0,0.61,0.705,0.681,0.705,0.681,0,93.463
0.08,0,0.74,0.74,0.715,0.74,0.715,0,93.463
0.08,0,0.86,0.775,0.75,0.775,0.75,0,93.463
0.08,0,1,0.815,0.79,0.815,0.79,0,93.463
0.09,0,0,0.529,0.504,0.529,0.504,0,93.463
0.09,0,0.12,0.563,0.539,0.563,0.539,0,93.463
0.09,0,0.25,0.598,0.573,0.598,0.573,0,93.463
0.09,0,0.37,0.633,0.608,0.633,0.608,0,93.463
0.09,0,0.49,0.667,0.643,0.667,0.643,0,93.463
0.09,0,0.61,0.702,0.677,0.702,0.677,0,93.463
0.09,0,0.74,0.737,0.712,0.737,0.712,0,93.463
0.09,0,0.86,0.771,0.747,0.771,0.747,0,93.463
0.09,0,1,0.811,0.787,0.811,0.787,0,93.463
0.1,0,0,0.525,0.501,0.525,0.501,0,93.463
0.1,0,0.12,0.56,0.535,0.56,0.535,0,93.463
0.1,0,0.25,0.595,0.57,0.595,0.57,0,93.463
0.1,0,0.37,0.629,0.604,0.629,0.604,0,93.463
0.1,0,0.49,0.664,0.639,0.664,0.639,0,93.463
0.1,0,0.61,0.698,0.674,0.698,0.674,0,93.463
0.1,0,0.74,0.733,0.708,0.733,0.708,0,93.463
0.1,0,0.86,0.768,0.743,0.768,0.743,0,93.463
0.1,0,1,0.808,0.783,0.808,0.783,0,93.463
0.11,0,0,0.522,0.497,0.522,0.497,0,93.463
0.11,0,0.12,0.557,0.532,0.557,0.532,0,93.463
0.11,0,0.25,0.591,0.567,0.591,0.567,0,93.463
0.11,0,0.37,0.626,0.601,0.626,0.601,0,93.463
