# Simulation 7 (Up to date)
# 1959 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (228 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-2.7654,0,2.7654,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,23012,4656,22.503,0.031594,NaN,187.92,NaN,0.0061492,435113,161.7,0,0.72209,0,0.59306,0.0090195,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,6.0238e-4
0.01,0,0,11.288,0,11.288,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,23012,4656,22.503,0.031594,NaN,187.92,NaN,0.0061733,436821,485.1,0,0.72158,0,0.59256,0.0090195,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,7.7035e-4
0.02,5.646e-4,0.11293,25.352,0.11293,25.352,0,0,0,0,0,0,28.61,-80.6,9.7922,86.936,0,0,0,23005,4649.5,22.498,0.031586,NaN,187.9,NaN,0.0062064,439158,808.49,6.011e-6,0.7209,2.6854e-4,0.59188,0.0090195,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4459e-5,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,8.6391e-4
0.03,0.0029618,0.36653,39.423,0.36653,39.423,0,0,0,0,0,0,28.61,-80.6,9.7922,80.181,0,0,0,22999,4643.1,22.494,0.031578,NaN,187.88,NaN,0.0063141,446783,1131.9,1.8945e-4,0.71871,0.0081773,0.58968,0.0090195,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6928e-5,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,9.512e-4
0.04,0.0085987,0.76087,53.502,0.76087,53.502,0,0,0,0,0,0,28.61,-80.6,9.7922,70.308,0,0,0,22992,4636.6,22.489,0.03157,NaN,187.86,NaN,0.0066337,469398,1455.3,0.0014835,0.71248,0.058009,0.58345,0.0090196,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.7418e-5,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.0010367
0.05,0.018883,1.296,67.589,1.296,67.589,0,0,0,0,0,0,28.61,-80.6,9.7922,58.731,0,0,0,22986,4630.2,22.485,0.031563,NaN,187.83,NaN,0.0073355,519053,1778.7,0.0060724,0.7001,0.1942,0.57107,0.0090197,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6594e-4,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.001131
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.035224,1.9721,81.683,1.9721,81.683,0,0,0,0,0,0,28.61,-80.6,9.7922,47.394,0,0,0,22980,4623.7,22.481,0.031555,NaN,187.81,NaN,0.0085585,605594,2102.1,0.016871,0.68187,0.39635,0.55284,0.00902,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.525e-4,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.0012332
0.07,0.05903,2.7891,95.785,2.7891,95.785,0,0,0,0,0,0,28.61,-80.6,9.7922,37.681,0,0,0,22973,4617.3,22.476,0.031547,NaN,187.79,NaN,0.010353,732602,2425.5,0.036428,0.66053,0.58479,0.5315,0.0090205,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5711e-4,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.0013207
0.08,0.091711,3.7472,105.5,3.7472,105.5,0,0,0,0,0,0,28.61,-80.6,9.7922,30.009,0,0,0,22967,4610.8,22.472,0.031539,NaN,187.77,NaN,0.012713,899550,2647.8,0.066437,0.63889,0.70739,0.50985,0.0090213,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.7978e-4,10.211,81.886,90,0,NaN,14.999,1013.2,340.39,0.01,0.001422
