# Simulation 6 (Up to date)
# 6568 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (40.7 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,49.39,0,49.39,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,29769,9417.3,23.319,0.039706,NaN,193.78,NaN,0.0063926,452335,1761.8,0,0.71714,0,0.58812,0.0090195,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,7.5824e-4
0.01,0.0024695,0.4939,167.16,0.4939,167.16,0,0,0,0,0,0,28.61,-80.6,9.7922,77.145,0,0,0,29769,9417.3,23.319,0.039706,NaN,193.78,NaN,0.006522,461494,5267.9,4.353e-4,0.71461,0.01761,0.58559,0.0090196,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3237e-5,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,9.5858e-4
0.02,0.01577,2.1664,215.39,2.1664,215.39,0,0,0,0,0,0,28.61,-80.6,9.7922,44.82,0,0,0,29753,9401,23.313,0.039686,NaN,193.76,NaN,0.0089724,634884,6700,0.020903,0.67646,0.44681,0.54743,0.0090201,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7737e-4,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.0011244
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.048209,4.3218,215.86,4.3218,215.86,0,0,0,0,0,0,28.61,-80.6,9.7922,26.356,0,0,0,29729,9376.9,23.304,0.039657,NaN,193.72,NaN,0.01417,1002623,6708.4,0.08739,0.62798,0.74901,0.49894,0.0090218,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.5334e-4,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.0012492
0.04,0.10223,6.4823,216.37,6.4823,216.37,0,0,0,0,0,0,28.61,-80.6,9.7922,18.187,0,0,0,29698,9345.9,23.293,0.03962,NaN,193.67,NaN,0.020045,1418382,6716.7,0.18044,0.59537,0.77278,0.4663,0.0090247,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2996e-4,10.211,81.886,90,0,NaN,14.999,1013.2,340.39,0.01,0.0013552
0.05,0.17788,8.648,216.25,8.648,216.25,0,0,0,0,0,0,28.61,-80.6,9.7922,13.762,0,0,0,29667,9314.9,23.281,0.039583,NaN,193.61,NaN,0.026157,1850836,6706.2,0.28941,0.57249,0.72792,0.44337,0.0090288,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011072,10.211,81.886,90,0,NaN,14.999,1013.2,340.39,0.01,0.0014587
0.06,0.27518,10.812,215.69,10.812,215.69,0,0,0,0,0,0,28.61,-80.6,9.7922,11.099,0,0,0,29636,9284,23.27,0.039546,NaN,193.56,NaN,0.03237,2290455,6683.6,0.41143,0.55538,0.6757,0.42621,0.009034,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013844,10.211,81.886,90,0,NaN,14.998,1013.2,340.39,0.0092486,0.0015642
0.069249,0.38441,12.809,215.2,12.809,215.2,0,0,0,0,0,0,28.61,-80.6,9.7922,9.4144,0,0,0,29606,9254.3,23.259,0.03951,NaN,193.51,NaN,0.038145,2699019,6663.5,0.53944,0.5434,0.63801,0.41417,0.0090398,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00164,10.211,81.886,90,0,NaN,14.998,1013.2,340.39,0.0078069,0.0016689
0.077056,0.49097,14.491,214.84,14.491,214.84,0,0,0,0,0,0,28.61,-80.6,9.7922,8.3472,0,0,0,29580,9228.1,23.249,0.039479,NaN,193.47,NaN,0.043028,3044478,6646.2,0.66049,0.53575,0.61395,0.40647,0.0090455,0.12024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018553,10.211,81.886,90,0,NaN,14.997,1013.2,340.39,0.0069009,0.0018083
0.083956,0.59609,15.975,214.49,15.975,214.49,0,0,0,0,0,0,28.61,-80.6,9.7922,7.5887,0,0,0,29557,9205.4,23.241,0.039452,NaN,193.43,NaN,0.047345,3.35e6,6630.7,0.77712,0.52987,0.59662,0.40053,0.0090511,0.12029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020453,10.211,81.886,90,0,NaN,14.996,1013.2,340.39,0.0062599,0.0019463
0.090216,0.7003,17.318,214.17,17.318,214.17,0,0,0,0,0,0,28.61,-80.6,9.7922,7.0121,0,0,0,29537,9185.1,23.233,0.039427,NaN,193.4,NaN,0.051262,3627022,6616.6,0.89094,0.52518,0.58349,0.3957,0.0091407,0.12034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0022173,10.211,81.886,90,0,NaN,14.995,1013.2,340.39,0.0057743,0.002065
