# Simulation 1 (Up to date)
# 1989 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (223 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-2.992,0,2.992,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,23779,4656,23.735,0.03312,NaN,202.81,NaN,0.0065666,499192,161.7,0,0.75006,0,0.62104,0.0090196,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.0088546
0.01,0,0,10.608,0,10.608,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,23779,4656,23.735,0.03312,NaN,202.81,NaN,0.0065666,499192,485.1,0,0.75006,0,0.62104,0.0090196,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.0095062
0.02,5.306e-4,0.10613,24.218,0.10613,24.218,0,0,0,0,0,0,28.61,-80.6,9.7922,87.282,0,0,0,23772,4649.5,23.73,0.033112,NaN,202.78,NaN,0.006574,499754,808.49,4.9161e-6,0.74992,1.9575e-4,0.62089,0.0090196,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3588e-5,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.010045
0.03,0.0028031,0.34839,37.835,0.34839,37.835,0,0,0,0,0,0,28.61,-80.6,9.7922,81.141,0,0,0,23766,4643.1,23.725,0.033104,NaN,202.76,NaN,0.0066459,505219,1131.9,1.6229e-4,0.74848,0.0063231,0.61945,0.0090196,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4605e-5,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.010683
0.04,0.0081791,0.72684,51.459,0.72684,51.459,0,0,0,0,0,0,28.61,-80.6,9.7922,71.987,0,0,0,23759,4636.6,23.719,0.033096,NaN,202.74,NaN,0.0069051,524921,1455.3,0.0013116,0.74347,0.047338,0.61444,0.0090196,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3061e-5,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.011228
0.05,0.018021,1.2416,65.091,1.2416,65.091,0,0,0,0,0,0,28.61,-80.6,9.7922,60.949,0,0,0,23753,4630.2,23.714,0.033089,NaN,202.71,NaN,0.0075116,571032,1778.7,0.005523,0.73265,0.16844,0.60362,0.0090198,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5896e-4,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.011723
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.033692,1.8926,78.729,1.8926,78.729,0,0,0,0,0,0,28.61,-80.6,9.7922,49.744,0,0,0,23746,4623.7,23.709,0.033081,NaN,202.69,NaN,0.0086045,654107,2102.1,0.015748,0.71579,0.36603,0.58676,0.00902,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4232e-4,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.01266
0.07,0.056556,2.6801,92.375,2.6801,92.375,0,0,0,0,0,0,28.61,-80.6,9.7922,39.828,0,0,0,23740,4617.3,23.704,0.033073,NaN,202.67,NaN,0.010253,779399,2425.5,0.03473,0.69507,0.56856,0.56603,0.0090204,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4315e-4,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.013174
0.08,0.087977,3.6041,101.77,3.6041,101.77,0,0,0,0,0,0,28.61,-80.6,9.7922,31.806,0,0,0,23733,4610.8,23.699,0.033065,NaN,202.64,NaN,0.012459,947137,2647.8,0.064336,0.67328,0.7132,0.54424,0.0090212,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6145e-4,10.211,81.886,90,0,NaN,14.999,1013.2,340.39,0.01,0.013677
