Time,Altitude,Vertical_velocity,Vertical_acceleration
0,0,0,48.028
0.01,0.0024014,0.48028,163.09
0.02,0.015362,2.112,210.21
0.03,0.046997,4.2155,210.66
0.04,0.099692,6.3239,211.15
0.05,0.1735,8.4373,211.03
0.06,0.26843,10.549,210.47
0.07,0.38445,12.656,209.92
0.08,0.52152,14.757,209.36
0.09,0.67956,16.852,208.8
0.1,0.85853,18.942,208.45
0.11,1.0584,21.029,208.73
0.12,1.2791,23.118,209.04
0.13,1.5207,25.21,209.36
0.14,1.7833,27.305,209.67
0.15,2.0669,29.404,209.99
0.16,2.3714,31.505,210.3
0.17,2.697,33.61,210.61
0.18,3.0436,35.718,210.93
0.19,3.4114,37.829,211.24
0.2,3.8002,39.944,211.56
0.21,4.2102,42.061,211.87
0.22,4.6415,44.181,212.18
0.235,5.3281,47.368,212.62
0.2575,6.4477,52.16,213.28
0.29125,8.3299,59.377,214.26
0.34125,11.567,70.131,215.7
0.39125,15.344,80.962,217.34
0.44125,19.665,91.875,219.04
0.49125,24.534,102.87,220.75
0.54125,29.954,113.96,222.45
0.59125,35.931,125.13,224.13
0.64125,42.469,136.38,225.81
0.69125,49.571,147.72,227.47
0.74125,57.242,159.14,229.11
0.79125,65.486,170.64,230.74
0.84125,74.308,182.22,232.34
0.89125,83.71,193.88,233.92
0.94125,93.698,205.62,235.47
0.99125,104.27,217.44,236.99
1.0413,115.44,229.33,238.48
1.0913,127.21,241.3,239.77
1.1413,139.57,253.33,240.46
1.1913,152.54,265.4,241.08
1.2413,166.11,277.49,241.64
1.2913,180.29,289.61,242.15
1.3413,195.08,301.76,242.58
1.3913,210.47,313.93,243.04
1.4413,226.47,326.12,243.52
1.4913,243.08,338.34,243.95
1.5413,260.3,350.56,243.69
1.5913,278.14,362.77,243.07
1.6413,296.58,374.97,242.7
1.6913,315.63,387.15,242.63
1.7413,335.29,399.34,242.85
1.7913,355.57,411.54,243.26
1.8413,376.45,423.77,243.68
1.8913,397.94,436.02,243.94
1.9413,420.05,448.27,243.9
1.9913,442.77,460.51,243.18
2.0413,466.1,472.72,241.76
2.0913,490.04,484.86,240.27
2.1413,514.58,496.92,238.75
2.1913,539.73,508.9,237.22
2.2413,565.47,520.81,235.67
2.2913,591.81,532.64,234.13
2.3412,618.73,544.39,232.58
2.3912,646.25,556.07,231.03
2.4412,674.34,567.67,229.47
2.4912,703.01,579.19,227.9
2.5412,732.26,590.64,226.31
2.5912,762.07,602,223.74
2.6412,792.45,613.23,211.35
2.6912,823.38,623.83,196.18
2.7412,854.82,633.67,180.8
2.7912,886.73,642.74,165.34
2.8412,919.07,651.03,149.79
2.8912,951.81,658.54,134.14
2.9412,984.9,665.27,118.38
2.9912,1018.3,671.21,103.93
3.0412,1052,676.42,95.047
3.0912,1085.9,681.19,86.628
3.1412,1120.1,685.53,78.148
3.1912,1154.5,689.44,65.787
3.2412,1189,692.74,49.257
3.2912,1223.7,695.21,32.694
3.3412,1258.5,696.85,17.306
3.3912,1293.4,697.72,2.449
3.4412,1328.3,697.85,-14.09
3.4912,1363.2,697.15,-29.281
3.5412,1398,695.69,-36.753
3.5912,1432.7,693.85,-47.919
3.6412,1467.4,691.47,-47.691
3.6912,1501.9,689.09,-47.394
3.7412,1536.3,686.73,-47.103
3.7912,1570.6,684.38,-46.813
3.8412,1604.7,682.04,-46.527
3.8912,1638.8,679.73,-46.246
3.9412,1672.7,677.42,-45.972
3.9912,1706.5,675.13,-45.701
4.0412,1740.2,672.85,-45.437
4.0912,1773.8,670.58,-45.175
4.1412,1807.3,668.33,-44.906
4.1912,1840.6,666.09,-44.636
4.2412,1873.9,663.87,-44.365
4.2912,1907,661.66,-44.097
4.3412,1940,659.46,-43.834
4.3912,1972.9,657.27,-43.577
4.4412,2005.8,655.1,-43.327
4.4912,2038.5,652.94,-43.086
4.5412,2071.1,650.79,-42.848
4.5912,2103.5,648.66,-42.608
4.6412,2135.9,646.53,-42.363
4.6912,2168.2,644.42,-42.116
4.7412,2200.4,642.32,-41.874
4.7912,2232.4,640.23,-41.635
4.8412,2264.4,638.16,-41.401
4.8912,2296.2,636.09,-41.172
4.9412,2328,634.04,-40.947
4.9912,2359.6,632,-40.724
5.0412,2391.2,629.97,-40.499
5.0912,2422.6,627.95,-40.272
5.1412,2454,625.94,-40.043
5.1912,2485.2,623.94,-39.817
5.2412,2516.4,621.96,-39.596
5.2912,2547.4,619.98,-39.384
5.3412,2578.4,618.02,-39.175
5.3912,2609.2,616.07,-38.97
5.4412,2640,614.12,-38.766
5.4912,2670.6,612.19,-38.562
5.5412,2701.2,610.27,-38.357
5.5912,2731.7,608.35,-38.149
5.6412,2762,606.45,-37.944
5.6912,2792.3,604.56,-37.74
5.7412,2822.5,602.68,-37.541
5.7912,2852.6,600.81,-37.345
5.8412,2882.6,598.94,-37.151
5.8912,2912.5,597.09,-36.96
5.9412,2942.3,595.25,-36.769
5.9912,2972,593.41,-36.577
6.0412,3001.6,591.59,-36.383
6.0912,3031.2,589.77,-36.197
6.1412,3060.6,587.97,-36.013
6.1912,3090,586.17,-35.832
6.2412,3119.2,584.39,-35.654
6.2912,3148.4,582.61,-35.478
6.3412,3177.5,580.84,-35.303
6.3912,3206.5,579.08,-35.127
6.4412,3235.4,577.33,-34.95
6.4912,3264.2,575.58,-34.774
6.5412,3293,573.85,-34.599
6.5912,3321.6,572.12,-34.428
6.6412,3350.2,570.41,-34.258
6.6912,3378.6,568.7,-34.091
6.7412,3407,567,-33.925
6.7912,3435.3,565.3,-33.761
6.8412,3463.6,563.62,-33.596
6.8912,3491.7,561.94,-33.431
6.9412,3519.8,560.28,-33.269
6.9912,3547.7,558.62,-33.11
7.0412,3575.6,556.97,-32.953
7.0912,3603.4,555.32,-32.798
7.1412,3631.2,553.69,-32.646
7.1912,3658.8,552.06,-32.494
7.2412,3686.4,550.44,-32.344
7.2912,3713.8,548.82,-32.193
7.3412,3741.2,547.22,-32.041
7.3912,3768.6,545.62,-31.89
7.4412,3795.8,544.03,-31.74
7.4912,3823,542.45,-31.594
7.5412,3850.1,540.87,-31.448
7.5912,3877.1,539.3,-31.307
7.6412,3904,537.74,-31.165
7.6912,3930.8,536.18,-31.023
7.7412,3957.6,534.64,-30.881
7.7912,3984.3,533.1,-30.738
7.8412,4010.9,531.56,-30.597
7.8912,4037.4,530.04,-30.46
7.9412,4063.9,528.52,-30.325
7.9912,4090.3,527,-30.193
8.0412,4116.6,525.5,-30.061
8.0912,4142.9,524,-29.932
8.1412,4169,522.5,-29.804
8.1912,4195.1,521.02,-29.674
8.2412,4221.1,519.54,-29.544
8.2912,4247.1,518.06,-29.412
8.3412,4272.9,516.6,-29.283
8.3912,4298.7,515.13,-29.155
8.4412,4324.4,513.68,-29.03
8.4912,4350.1,512.23,-28.907
8.5412,4375.7,510.79,-28.787
8.5912,4401.2,509.35,-28.665
8.6412,4426.6,507.92,-28.543
8.6912,4452,506.5,-28.42
8.7412,4477.2,505.08,-28.297
8.7912,4502.5,503.67,-28.175
8.8412,4527.6,502.26,-28.059
8.8912,4552.7,500.86,-27.943
8.9412,4577.7,499.47,-27.829
8.9912,4602.6,498.08,-27.717
9.0412,4627.5,496.7,-27.607
9.0912,4652.3,495.32,-27.497
9.1412,4677,493.95,-27.387
9.1912,4701.7,492.58,-27.275
9.2412,4726.3,491.22,-27.162
9.2912,4750.8,489.86,-27.05
9.3412,4775.3,488.51,-26.94
9.3912,4799.7,487.17,-26.831
9.4412,4824,485.83,-26.724
9.4913,4848.3,484.5,-26.62
9.5413,4872.4,483.17,-26.518
9.5913,4896.6,481.85,-26.415
9.6413,4920.6,480.53,-26.31
9.6913,4944.6,479.21,-26.204
9.7413,4968.6,477.91,-26.098
9.7913,4992.4,476.61,-25.992
9.8413,5016.2,475.31,-25.891
9.8913,5039.9,474.02,-25.794
9.9413,5063.6,472.73,-25.699
9.9913,5087.2,471.45,-25.605
10.041,5110.8,470.17,-25.512
10.091,5134.2,468.89,-25.417
10.141,5157.7,467.63,-25.321
10.191,5181,466.36,-25.222
