mach,alpha_deg,protuberance,cd_power_off,CD_Power_On,CA_Power_Off,CA_Power_On,CN_Total,CP_Total
0.01,0.0,0.0,0.439,0.415,0.439,0.415,0.0,87.169
0.01,0.0,1.0,0.588,0.563,0.588,0.563,0.0,87.169
0.01,1.0,0.0,0.441,0.417,0.439,0.415,0.116,87.169
0.01,1.0,1.0,0.59,0.565,0.588,0.563,0.116,87.169
0.01,2.0,0.0,0.448,0.423,0.44,0.415,0.232,87.169
0.01,2.0,1.0,0.596,0.572,0.589,0.564,0.232,87.169
0.01,3.0,0.0,0.458,0.433,0.44,0.416,0.348,87.169
0.01,3.0,1.0,0.607,0.582,0.589,0.565,0.348,87.169
0.01,4.0,0.0,0.473,0.448,0.441,0.417,0.464,87.169
0.01,4.0,1.0,0.622,0.597,0.591,0.566,0.464,87.169
0.01,5.0,0.0,0.491,0.467,0.443,0.418,0.581,87.169
0.01,5.0,1.0,0.641,0.616,0.592,0.567,0.581,87.169
0.01,6.0,0.0,0.514,0.49,0.444,0.419,0.697,87.169
0.01,6.0,1.0,0.664,0.639,0.594,0.569,0.697,87.169
0.01,7.0,0.0,0.542,0.517,0.446,0.421,0.813,87.169
0.01,7.0,1.0,0.691,0.666,0.597,0.572,0.813,87.169
0.01,8.0,0.0,0.573,0.548,0.448,0.423,0.929,87.169
0.01,8.0,1.0,0.723,0.698,0.599,0.574,0.929,87.169
0.01,9.0,0.0,0.608,0.583,0.45,0.425,1.045,87.169
0.01,9.0,1.0,0.759,0.734,0.603,0.577,1.045,87.169
0.01,10.0,0.0,0.648,0.623,0.453,0.427,1.161,87.169
0.01,10.0,1.0,0.799,0.773,0.606,0.581,1.161,87.169
0.01,11.0,0.0,0.691,0.666,0.456,0.43,1.277,87.169
0.01,11.0,1.0,0.843,0.817,0.61,0.584,1.277,87.169
0.01,12.0,0.0,0.739,0.713,0.459,0.433,1.393,87.169
0.01,12.0,1.0,0.891,0.865,0.614,0.589,1.393,87.169
0.01,13.0,0.0,0.79,0.765,0.463,0.437,1.509,87.169
0.01,13.0,1.0,0.943,0.918,0.619,0.593,1.509,87.169
0.01,14.0,0.0,0.846,0.82,0.467,0.44,1.626,87.169
0.01,14.0,1.0,0.999,0.974,0.624,0.598,1.626,87.169
0.01,15.0,0.0,0.905,0.88,0.471,0.444,1.742,87.169
0.01,15.0,1.0,1.059,1.034,0.63,0.604,1.742,87.169
0.02,0.0,0.0,0.469,0.444,0.469,0.444,0.0,87.169
0.02,0.0,1.0,0.617,0.593,0.617,0.593,0.0,87.169
0.02,1.0,0.0,0.471,0.446,0.469,0.444,0.116,87.169
0.02,1.0,1.0,0.62,0.595,0.618,0.593,0.116,87.169
0.02,2.0,0.0,0.477,0.452,0.469,0.445,0.232,87.169
0.02,2.0,1.0,0.626,0.601,0.618,0.593,0.232,87.169
0.02,3.0,0.0,0.488,0.463,0.47,0.445,0.348,87.169
0.02,3.0,1.0,0.636,0.612,0.619,0.594,0.348,87.169
0.02,4.0,0.0,0.502,0.478,0.471,0.446,0.464,87.169
0.02,4.0,1.0,0.651,0.627,0.62,0.596,0.464,87.169
0.02,5.0,0.0,0.521,0.496,0.472,0.447,0.581,87.169
0.02,5.0,1.0,0.67,0.646,0.622,0.597,0.581,87.169
0.02,6.0,0.0,0.544,0.519,0.474,0.449,0.697,87.169
0.02,6.0,1.0,0.694,0.669,0.624,0.599,0.697,87.169
0.02,7.0,0.0,0.571,0.546,0.476,0.451,0.813,87.169
