# Simulation 2 (Up to date)
# 6434 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (141 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s�),Total velocity (ft/s),Total acceleration (ft/s�),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (�),Lateral velocity (ft/s),Lateral acceleration (ft/s�),Latitude (�),Longitude (�),Gravitational acceleration (ft/s�),Angle of attack (�),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Propellant mass (oz),Longitudinal moment of inertia (lb�ft�),Rotational moment of inertia (lb�ft�),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (ft/s�),Reference length (in),Reference area (in�),Vertical orientation (zenith) (�),Lateral orientation (azimuth) (�),Wind velocity (ft/s),Air temperature (�F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,155.66,0,155.66,0,0,0,0,0,0,28.61,-80.6,32.127,90,0,0,0,1085.8,332.18,482.97,1.012,NaN,74.628,NaN,0.0065666,456973,1761.8,0,0.68508,0,0.55616,0.0089126,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.158,13.579,90,0,NaN,59,1013.2,1116.8,0.01,2.928e-4
0.01,0.0077829,1.5566,529.36,1.5566,529.36,0,0,0,0,0,0,28.61,-80.6,32.127,78.016,0,0,0,1085.8,332.18,482.97,1.012,NaN,74.628,NaN,0.0067129,467154,5267.9,3.8569e-4,0.68245,0.013767,0.55354,0.0089127,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.993e-4,4.158,13.579,90,0,NaN,59,1013.2,1116.8,0.01,4.077e-4
0.02,0.049826,6.8526,682.37,6.8526,682.37,0,0,0,0,0,0,28.61,-80.6,32.127,46.941,0,0,0,1085.2,331.61,482.83,1.0115,NaN,74.618,NaN,0.0089874,625433,6700,0.019404,0.64936,0.38641,0.52044,0.0089132,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7737e-4,4.158,13.579,90,0,NaN,59,1013.2,1116.8,0.01,4.411e-4
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.15249,13.681,683.83,13.681,683.83,0,0,0,0,0,0,28.61,-80.6,32.127,28.192,0,0,0,1084.4,330.76,482.62,1.0108,NaN,74.603,NaN,0.0139,967271,6708.4,0.083736,0.60519,0.69716,0.47625,0.0089147,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017516,4.158,13.579,90,0,NaN,58.999,1013.2,1116.8,0.01,4.837e-4
0.04,0.32351,20.525,685.43,20.525,685.43,0,0,0,0,0,0,28.61,-80.6,32.127,19.661,0,0,0,1083.3,329.67,482.36,1.0099,NaN,74.584,NaN,0.019517,1358193,6716.7,0.17555,0.57459,0.7413,0.44563,0.0089172,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026279,4.158,13.579,90,0,NaN,58.999,1013.2,1116.8,0.01,5.151e-4
0.05,0.56306,27.386,685.01,27.386,685.01,0,0,0,0,0,0,28.61,-80.6,32.127,14.991,0,0,0,1082.2,328.57,482.09,1.009,NaN,74.565,NaN,0.025386,1766618,6706.2,0.28541,0.55289,0.71236,0.42389,0.0089207,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0035063,4.158,13.579,90,0,NaN,58.998,1013.2,1116.8,0.01,5.459e-4
0.06,0.87119,34.242,683.21,34.242,683.21,0,0,0,0,0,0,28.61,-80.6,32.127,12.088,0,0,0,1081.1,327.48,481.82,1.0082,NaN,74.545,NaN,0.031357,2182092,6682.7,0.40652,0.5366,0.66503,0.40755,0.0089253,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0043841,4.158,13.579,90,0,NaN,58.997,1013.2,1116.8,0.01,5.786e-4
0.07,1.2478,41.08,681.39,41.08,681.39,0,0,0,0,0,0,28.61,-80.6,32.127,10.122,0,0,0,1080,326.4,481.56,1.0073,NaN,74.526,NaN,0.037366,2600251,6659.2,0.54266,0.5243,0.62518,0.39519,0.0089308,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0052596,4.158,13.579,90,0,NaN,58.996,1013.2,1116.8,0.01,6.094e-4
0.08,1.6927,47.899,679.57,47.899,679.57,0,0,0,0,0,0,28.61,-80.6,32.127,8.7043,0,0,0,1078.9,325.31,481.29,1.0064,NaN,74.507,NaN,0.043391,3019494,6635.7,0.69794,0.51608,0.59629,0.3869,0.0089373,0.12024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0061328,4.158,13.579,90,0,NaN,58.994,1013.2,1116.8,0.01,6.401e-4
