# Simulation 1 (Up to date)
# 6607 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (48.7 m/s)
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,49.39,0,49.39,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,29769,9417.3,23.319,0.039706,NaN,193.78,NaN,0.0065666,464649,1761.8,0,0.71375,0,0.58473,0.0090196,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.001489
0.01,0.0024695,0.4939,167.16,0.4939,167.16,0,0,0,0,0,0,28.61,-80.6,9.7922,77.54,0,0,0,29769,9417.3,23.319,0.039706,NaN,193.78,NaN,0.006725,475857,5267.9,4.2121e-4,0.71077,0.016027,0.58175,0.0090196,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3237e-5,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.0019095
0.02,0.01577,2.1664,215.39,2.1664,215.39,0,0,0,0,0,0,28.61,-80.6,9.7922,45.896,0,0,0,29753,9401,23.313,0.039686,NaN,193.76,NaN,0.0091447,647071,6700,0.02055,0.6743,0.42287,0.54527,0.0090201,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7737e-4,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.0022545
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.048209,4.3218,215.86,4.3218,215.86,0,0,0,0,0,0,28.61,-80.6,9.7922,27.348,0,0,0,29729,9376.9,23.304,0.039657,NaN,193.72,NaN,0.014294,1011447,6708.4,0.087219,0.62712,0.73456,0.49807,0.0090219,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.5334e-4,10.211,81.886,90,0,NaN,15,1013.2,340.39,0.01,0.0032471
0.04,0.10223,6.4823,216.37,6.4823,216.37,0,0,0,0,0,0,28.61,-80.6,9.7922,19.025,0,0,0,29698,9345.9,23.293,0.03962,NaN,193.67,NaN,0.020144,1425383,6716.7,0.18157,0.59493,0.76997,0.46586,0.0090248,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2996e-4,10.211,81.886,90,0,NaN,14.999,1013.2,340.39,0.01,0.0034912
0.05,0.17788,8.648,216.25,8.648,216.25,0,0,0,0,0,0,28.61,-80.6,9.7922,14.492,0,0,0,29667,9314.9,23.281,0.039583,NaN,193.61,NaN,0.026241,1856779,6706.2,0.29362,0.57222,0.73378,0.44311,0.0090288,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011072,10.211,81.886,90,0,NaN,14.999,1013.2,340.39,0.01,0.0036695
0.06,0.27518,10.812,215.69,10.812,215.69,0,0,0,0,0,0,28.61,-80.6,9.7922,11.68,0,0,0,29636,9284,23.27,0.039546,NaN,193.56,NaN,0.032437,2295140,6682.7,0.41762,0.55522,0.68305,0.42605,0.009034,0.12014,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013844,10.211,81.886,90,0,NaN,14.998,1013.2,340.39,0.01,0.0038678
0.07,0.39409,12.971,215.12,12.971,215.12,0,0,0,0,0,0,28.61,-80.6,9.7922,9.7772,0,0,0,29605,9253.2,23.259,0.039509,NaN,193.51,NaN,0.038669,2736087,6659.2,0.55792,0.54252,0.6421,0.41328,0.0090404,0.12019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0016608,10.211,81.886,90,0,NaN,14.997,1013.2,340.39,0.01,0.0040597
0.08,0.53457,15.124,214.56,15.124,214.56,0,0,0,0,0,0,28.61,-80.6,9.7922,8.4068,0,0,0,29574,9222.4,23.247,0.039472,NaN,193.46,NaN,0.044915,3178039,6635.7,0.71713,0.53309,0.61174,0.40378,0.0090479,0.12026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0019364,10.211,81.886,90,0,NaN,14.997,1013.2,340.39,0.01,0.0042493
0.09,0.69655,17.272,213.99,17.272,213.99,0,0,0,0,0,0,28.61,-80.6,9.7922,7.3738,0,0,0,29544,9191.6,23.236,0.039435,NaN,193.41,NaN,0.051165,3620181,6612.1,0.89523,0.52529,0.58852,0.39581,0.0091341,0.12034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0022114,10.211,81.886,90,0,NaN,14.995,1013.2,340.39,0.01,0.0044335
0.1,0.87997,19.414,213.64,19.414,213.64,0,0,0,0,0,0,28.61,-80.6,9.7922,6.5679,0,0,0,29513,9160.8,23.224,0.039398,NaN,193.36,NaN,0.057411,4062052,6595.1,1.0931,0.51898,0.57074,0.38899,0.0095599,0.12043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0024856,10.211,81.886,90,0,NaN,14.994,1013.1,340.39,0.01,0.0046405
0.11,1.0848,21.552,213.93,21.552,213.93,0,0,0,0,0,0,28.61,-80.6,9.7922,5.9211,0,0,0,29482,9130,23.213,0.039361,NaN,193.31,NaN,0.063656,4503826,6596.9,1.3105,0.51355,0.5566,0.38304,0.0099867,0.12053,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0027594,10.211,81.886,90,0,NaN,14.993,1013.1,340.38,0.01,0.0048336
