Time,Altitude,Vertical_velocity
0,0,0
0.01,0,0
0.02,5.306e-4,0.10613
0.03,0.0028031,0.34839
0.04,0.0081791,0.72684
0.05,0.018021,1.2416
0.06,0.033692,1.8926
0.07,0.056556,2.6801
0.08,0.087977,3.6041
0.09,0.12911,4.6222
0.1,0.18045,5.6467
0.11,0.24206,6.6751
0.12,0.31397,7.7073
0.13,0.39622,8.7433
0.14,0.48886,9.7833
0.15,0.59191,10.827
0.15924,0.69637,11.795
0.16771,0.80015,12.686
0.1756,0.90343,13.517
0.183,1.0063,14.299
0.19409,1.1715,15.476
0.21074,1.4439,17.25
0.23571,1.9081,19.931
0.27316,2.7306,23.991
0.32316,4.0665,29.45
0.37316,5.6765,34.95
0.42316,7.5624,40.492
0.47316,9.7264,46.068
0.52316,12.17,51.673
0.57316,14.894,57.308
0.62316,17.901,62.968
0.67316,21.191,68.646
0.72316,24.766,74.341
0.77316,28.626,80.053
0.82316,32.772,85.781
0.87316,37.204,91.524
0.92316,41.924,97.282
0.97316,46.933,103.06
1.0232,52.23,108.84
1.0732,57.817,114.64
1.1232,63.695,120.46
1.1732,69.863,126.29
1.2232,76.324,132.14
1.2732,83.077,137.99
1.3232,90.123,143.86
1.3732,97.463,149.73
1.4232,105.1,155.61
1.4732,113.02,161.49
1.5232,121.25,167.38
1.5732,129.76,173.26
1.6232,138.57,179.15
1.6732,147.68,185.04
1.7232,157.08,190.93
1.7732,166.77,196.82
1.8232,176.76,202.7
1.8732,187.04,208.58
1.9232,197.62,214.46
1.9732,208.48,220.32
2.0232,219.65,226.16
2.0732,231.1,231.99
2.1232,242.85,237.8
2.1732,254.88,243.58
2.2232,267.2,249.33
2.2732,279.81,255.04
2.3232,292.71,260.72
2.3732,305.88,266.35
2.4232,319.34,271.93
2.4732,333.07,277.47
2.5232,347.08,282.95
2.5732,361.37,288.37
2.6232,375.92,293.74
2.6732,390.74,299.06
2.7232,405.83,304.32
2.7732,421.17,309.52
2.8232,436.78,314.67
2.8732,452.64,319.76
2.9232,468.75,324.8
2.9732,485.12,329.77
3.0232,501.73,334.69
3.0732,518.58,339.56
3.1232,535.68,344.35
3.1732,553.02,349.09
3.2232,570.59,353.77
3.2732,588.39,358.39
3.3232,606.42,362.69
3.3732,624.65,366.57
3.4232,643.07,370.05
3.4732,661.64,372.92
3.5232,680.34,374.95
3.5732,699.12,376.14
3.6232,717.93,376.56
3.6732,736.76,376.54
3.7232,755.58,376.11
3.7732,774.36,375.28
3.8232,793.1,374.24
3.8732,811.78,373.06
3.9232,830.4,371.74
3.9732,848.95,370.32
4.0232,867.43,368.86
4.0732,885.84,367.34
4.1232,904.17,365.79
4.1732,922.42,364.21
4.2232,940.59,362.63
4.2732,958.68,361.04
4.3232,976.69,359.46
4.3732,994.62,357.89
4.4232,1012.5,356.33
4.4732,1030.3,354.78
4.5232,1048,353.25
4.5732,1065.6,351.72
4.6232,1083.1,350.21
4.6732,1100.6,348.71
4.7232,1118,347.22
4.7732,1135.3,345.75
4.8232,1152.6,344.29
4.8732,1169.8,342.84
4.9232,1186.9,341.41
4.9732,1203.9,339.99
5.0232,1220.9,338.59
5.0732,1237.8,337.2
5.1232,1254.6,335.83
5.1732,1271.3,334.46
5.2232,1288,333.11
5.2732,1304.7,331.76
5.3232,1321.2,330.43
5.3732,1337.7,329.1
5.4232,1354.1,327.78
5.4732,1370.5,326.47
5.5232,1386.8,325.17
5.5732,1403,323.88
5.6232,1419.2,322.59
5.6732,1435.2,321.32
5.7232,1451.3,320.05
5.7732,1467.3,318.79
5.8232,1483.2,317.53
5.8732,1499,316.29
5.9232,1514.8,315.05
5.9732,1530.5,313.82
6.0232,1546.2,312.59
6.0732,1561.8,311.38
6.1232,1577.3,310.17
6.1732,1592.8,308.97
6.2232,1608.2,307.77
6.2732,1623.6,306.59
6.3232,1638.9,305.4
6.3732,1654.1,304.23
6.4232,1669.3,303.06
6.4732,1684.4,301.9
6.5232,1699.5,300.74
6.5732,1714.5,299.59
6.6232,1729.4,298.45
6.6732,1744.3,297.32
6.7232,1759.2,296.19
6.7732,1774,295.07
6.8232,1788.7,293.96
6.8732,1803.3,292.85
6.9232,1818,291.75
6.9732,1832.5,290.66
7.0232,1847,289.57
7.0732,1861.5,288.49
7.1232,1875.9,287.41
7.1732,1890.2,286.34
7.2232,1904.5,285.28
7.2732,1918.7,284.22
7.3232,1932.9,283.17
7.3732,1947.1,282.13
7.4232,1961.1,281.09
7.4732,1975.2,280.06
7.5232,1989.2,279.03
7.5732,2003.1,278.01
7.6232,2017,276.99
7.6732,2030.8,275.98
7.7232,2044.6,274.97
7.7732,2058.3,273.97
7.8232,2071.9,272.97
7.8732,2085.6,271.98
7.9232,2099.1,270.99
7.9732,2112.7,270.01
8.0232,2126.1,269.03
8.0732,2139.6,268.06
8.1232,2153,267.1
8.1732,2166.3,266.13
8.2232,2179.6,265.18
8.2732,2192.8,264.22
8.3232,2206,263.27
8.3732,2219.1,262.33
8.4232,2232.2,261.39
8.4732,2245.3,260.45
8.5232,2258.3,259.52
8.5732,2271.2,258.6
8.6232,2284.1,257.67
8.6732,2297,256.75
8.7232,2309.8,255.84
8.7732,2322.6,254.93
8.8232,2335.3,254.02
8.8732,2348,253.12
8.9232,2360.6,252.22
8.9732,2373.2,251.33
9.0232,2385.7,250.43
9.0732,2398.2,249.55
9.1232,2410.7,248.66
9.1732,2423.1,247.78
9.2232,2435.5,246.91
9.2732,2447.8,246.04
9.3232,2460.1,245.17
9.3732,2472.3,244.3
9.4232,2484.5,243.44
9.4732,2496.7,242.58
9.5232,2508.8,241.73
9.5732,2520.8,240.88
9.6232,2532.9,240.03
9.6732,2544.8,239.18
9.7232,2556.8,238.34
9.7732,2568.7,237.5
9.8232,2580.5,236.67
9.8732,2592.3,235.83
9.9232,2604.1,235.01
9.9732,2615.8,234.18
10.023,2627.5,233.36
10.073,2639.2,232.54
10.123,2650.8,231.72
10.173,2662.3,230.91
10.223,2673.9,230.1
10.273,2685.4,229.29
10.323,2696.8,228.48
10.373,2708.2,227.68
10.423,2719.6,226.88
10.473,2730.9,226.09
10.523,2742.2,225.29
10.573,2753.4,224.5
10.623,2764.6,223.71
10.673,2775.8,222.93
10.723,2786.9,222.15
10.773,2798,221.37
10.823,2809.1,220.59
10.873,2820.1,219.81
10.923,2831,219.04
10.973,2842,218.27
11.023,2852.9,217.5
11.073,2863.7,216.74
11.123,2874.5,215.97
11.173,2885.3,215.21
11.223,2896.1,214.46
11.273,2906.8,213.7
11.323,2917.4,212.95
11.373,2928.1,212.2
11.423,2938.6,211.45
11.473,2949.2,210.71
11.523,2959.7,209.96
11.573,2970.2,209.22
11.623,2980.6,208.48
11.673,2991,207.75
11.723,3001.4,207.01
11.773,3011.7,206.28
11.823,3022,205.55
11.873,3032.3,204.82
11.923,3042.5,204.1
11.973,3052.7,203.37
12.023,3062.9,202.65
12.073,3073,201.93
12.123,3083.1,201.21
12.173,3093.1,200.5
12.223,3103.1,199.78
12.273,3113.1,199.07
12.323,3123,198.36
12.373,3132.9,197.65
12.423,3142.8,196.95
12.473,3152.6,196.25
12.523,3162.4,195.54
12.573,3172.2,194.84
12.623,3181.9,194.15
12.673,3191.6,193.45
12.723,3201.2,192.76
12.773,3210.9,192.06
12.823,3220.4,191.37
12.873,3230,190.68
12.923,3239.5,190
12.973,3249,189.31
13.023,3258.4,188.63
13.073,3267.8,187.94
13.123,3277.2,187.26
13.173,3286.6,186.58
13.223,3295.9,185.91
13.273,3305.2,185.23
13.323,3314.4,184.56
13.373,3323.6,183.89
13.423,3332.8,183.22
