Time,Altitude,Vertical_velocity
0,0,0
0.01,0.0023952,0.47904
0.02,0.015325,2.107
0.03,0.046887,4.2058
0.04,0.099462,6.3095
0.05,0.1731,8.4181
0.06,0.26781,10.526
0.07,0.38358,12.627
0.08,0.52033,14.724
0.09,0.67802,16.814
0.1,0.85658,18.899
0.11,1.056,20.981
0.12,1.2762,23.065
0.13,1.5173,25.153
0.14,1.7793,27.243
0.15,2.0622,29.337
0.16,2.366,31.434
0.17,2.6909,33.534
0.18,3.0367,35.637
0.19,3.4036,37.743
0.2,3.7916,39.853
0.21,4.2007,41.965
0.22,4.6309,44.081
0.235,5.316,47.26
0.2575,6.4331,52.041
0.29125,8.311,59.242
0.34125,11.541,69.971
0.39125,15.31,80.776
0.44125,19.62,91.664
0.49125,24.478,102.64
0.54125,29.886,113.69
0.59125,35.849,124.84
0.64125,42.371,136.06
0.69125,49.457,147.37
0.74125,57.11,158.76
0.79125,65.335,170.24
0.84125,74.135,181.79
0.89125,83.515,193.42
0.94125,93.479,205.13
0.99125,104.03,216.92
1.0413,115.17,228.78
1.0913,126.91,240.72
1.1413,139.25,252.71
1.1913,152.18,264.75
1.2413,165.72,276.81
1.2913,179.86,288.9
1.3413,194.61,301.01
1.3913,209.96,313.14
1.4413,225.93,325.3
1.4913,242.49,337.48
1.5413,259.67,349.67
1.5913,277.46,361.85
1.6413,295.86,374.01
1.6913,314.86,386.15
1.7413,334.47,398.3
1.7913,354.69,410.47
1.8413,375.52,422.65
1.8913,396.96,434.86
1.9413,419,447.06
1.9913,441.66,459.27
2.0413,464.93,471.44
2.0913,488.8,483.53
2.1413,513.28,495.55
2.1913,538.36,507.49
2.2413,564.03,519.35
2.2913,590.29,531.14
2.3412,617.14,542.85
2.3912,644.57,554.48
2.4412,672.59,566.04
2.4912,701.17,577.52
2.5412,730.34,588.91
2.5912,760.06,600.23
2.6412,790.36,611.42
2.6912,821.19,621.98
2.7412,852.53,631.77
2.7912,884.35,640.8
2.8412,916.59,649.05
2.8912,949.23,656.53
2.9412,982.23,663.22
2.9912,1015.5,669.13
3.0412,1049.1,674.31
3.0912,1083,679.05
3.1412,1117,683.36
3.1912,1151.3,687.25
3.2412,1185.7,690.52
3.2912,1220.3,692.97
3.3412,1255,694.59
3.3912,1289.8,695.44
3.4412,1324.5,695.55
3.4912,1359.3,694.84
3.5412,1394,693.37
3.5912,1428.6,691.53
3.6412,1463.1,689.13
3.6912,1497.5,686.75
3.7412,1531.8,684.38
3.7912,1566,682.02
3.8412,1600,679.68
3.8912,1633.9,677.36
3.9412,1667.7,675.05
3.9912,1701.4,672.75
4.0412,1735,670.46
4.0912,1768.5,668.19
4.1412,1801.8,665.93
4.1912,1835.1,663.69
4.2412,1868.2,661.46
4.2912,1901.2,659.24
4.3412,1934.1,657.04
4.3912,1966.9,654.85
4.4412,1999.6,652.67
4.4912,2032.2,650.5
4.5412,2064.7,648.35
4.5912,2097,646.21
4.6412,2129.3,644.08
4.6912,2161.4,641.96
4.7412,2193.5,639.85
4.7912,2225.4,637.76
4.8412,2257.3,635.68
4.8912,2289,633.61
4.9412,2320.6,631.55
4.9912,2352.1,629.51
5.0412,2383.6,627.47
5.0912,2414.9,625.45
5.1412,2446.1,623.43
5.1912,2477.2,621.43
5.2412,2508.3,619.44
5.2912,2539.2,617.46
5.3412,2570,615.49
5.3912,2600.7,613.54
5.4412,2631.4,611.59
5.4912,2661.9,609.65
5.5412,2692.3,607.72
5.5912,2722.7,605.81
5.6412,2752.9,603.9
5.6912,2783.1,602
5.7412,2813.1,600.12
5.7912,2843.1,598.24
5.8412,2872.9,596.37
5.8912,2902.7,594.52
5.9412,2932.4,592.67
5.9912,2962,590.83
6.0412,2991.5,589
6.0912,3020.9,587.19
6.1412,3050.2,585.38
6.1912,3079.4,583.58
6.2412,3108.5,581.79
6.2912,3137.6,580
6.3412,3166.5,578.23
6.3912,3195.4,576.47
6.4412,3224.2,574.71
