# Simulation 2 (Up to date)
# 2959 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (899 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Propellant mass (oz),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,156.53,0,156.53,0,0,0,0,0,0,28.61,-80.6,32.127,90,0,0,0,1080.7,332.18,480.69,0.98601,NaN,74.495,NaN,0.0065666,456973,1761.8,0,0.70872,0,0.57967,0.0090388,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,12.566,90,0,NaN,59,1013.2,1116.8,0.01,0.0076179
0.01,0.0078267,1.5653,531.97,1.5653,531.97,0,0,0,0,0,0,28.61,-80.6,32.127,77.951,0,0,0,1080.7,332.18,480.69,0.98601,NaN,74.495,NaN,0.0067145,467267,5267.9,3.752e-4,0.70595,0.014464,0.57691,0.0090388,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0042e-4,4,12.566,90,0,NaN,59,1013.2,1116.8,0.01,0.0082237
0.02,0.050089,6.8875,685.7,6.8875,685.7,0,0,0,0,0,0,28.61,-80.6,32.127,46.795,0,0,0,1080.2,331.61,480.55,0.98554,NaN,74.485,NaN,0.0090087,626922,6700,0.01879,0.67122,0.4024,0.54217,0.0090394,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8185e-4,4,12.566,90,0,NaN,59,1013.2,1116.8,0.01,0.008778
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.15327,13.749,687.17,13.749,687.17,0,0,0,0,0,0,28.61,-80.6,32.127,28.074,0,0,0,1079.3,330.76,480.34,0.98486,NaN,74.47,NaN,0.013953,971024,6708.4,0.080855,0.62507,0.72179,0.496,0.009041,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017604,4,12.566,90,0,NaN,58.999,1013.2,1116.8,0.01,0.0093499
0.04,0.32514,20.627,688.78,20.627,688.78,0,0,0,0,0,0,28.61,-80.6,32.127,19.571,0,0,0,1078.2,329.67,480.07,0.98397,NaN,74.45,NaN,0.019603,1364167,6716.7,0.16928,0.59317,0.76564,0.46407,0.0090438,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002641,4,12.566,90,0,NaN,58.999,1013.2,1116.8,0.01,0.0099147
0.05,0.56588,27.521,688.37,27.521,688.37,0,0,0,0,0,0,28.61,-80.6,32.127,14.921,0,0,0,1077.1,328.57,479.8,0.98309,NaN,74.431,NaN,0.025503,1774766,6706.2,0.27492,0.57056,0.73467,0.44143,0.0090476,0.12008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0035236,4,12.566,90,0,NaN,58.998,1013.2,1116.8,0.01,0.010949
0.06,0.87553,34.411,686.56,34.411,686.56,0,0,0,0,0,0,28.61,-80.6,32.127,12.03,0,0,0,1076,327.48,479.54,0.98221,NaN,74.411,NaN,0.031505,2192387,6682.7,0.39139,0.55359,0.68539,0.42441,0.0090526,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0044058,4,12.566,90,0,NaN,58.997,1013.2,1116.8,0.01,0.011563
0.07,1.254,41.282,684.74,41.282,684.74,0,0,0,0,0,0,28.61,-80.6,32.127,10.073,0,0,0,1074.9,326.4,479.27,0.98133,NaN,74.392,NaN,0.037545,2612674,6659.2,0.52444,0.54289,0.64667,0.41365,0.0090586,0.12018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0052856,4,12.566,90,0,NaN,58.996,1013.2,1116.8,0.01,0.0122
0.08,1.7011,48.135,682.91,48.135,682.91,0,0,0,0,0,0,28.61,-80.6,32.127,8.6623,0,0,0,1073.9,325.31,479,0.98045,NaN,74.372,NaN,0.0436,3034030,6635.7,0.68443,0.54216,0.62581,0.41285,0.0090658,0.12025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006163,4,12.566,90,0,NaN,58.994,1013.2,1116.8,0.01,0.012798
0.09,2.2166,54.971,681.08,54.971,681.08,0,0,0,0,0,0,28.61,-80.6,32.127,7.5987,0,0,0,1072.8,324.22,478.73,0.97958,NaN,74.353,NaN,0.04966,3455633,6612.1,0.86533,0.54156,0.60992,0.41217,0.009074,0.12032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0070381,4,12.566,90,0,NaN,58.992,1013.2,1116.8,0.01,0.013334
0.1,2.8004,61.787,679.95,61.787,679.95,0,0,0,0,0,0,28.61,-80.6,32.127,6.7686,0,0,0,1071.7,323.14,478.46,0.9787,NaN,74.333,NaN,0.055716,3877018,6595.1,1.0683,0.54145,0.59819,0.41158,0.0094622,0.1204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0079109,4,12.566,90,0,NaN,58.99,1013.1,1116.8,0.01,0.013924
0.11,3.4523,68.593,680.84,68.593,680.84,0,0,0,0,0,0,28.61,-80.6,32.127,6.1024,0,0,0,1070.6,322.05,478.19,0.97782,NaN,74.314,NaN,0.061772,4298333,6596.9,1.2934,0.54144,0.5892,0.41107,0.009874,0.1205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0087822,4,12.566,90,0,NaN,58.988,1013.1,1116.7,0.01,0.014477
0.12,4.1723,75.407,681.86,75.407,681.86,0,0,0,0,0,0,28.61,-80.6,32.127,5.5546,0,0,0,1069.5,320.97,477.92,0.97695,NaN,74.294,NaN,0.067842,4720660,6600,1.5415,0.54149,0.58218,0.4106,0.010288,0.1206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0096547,4,12.566,90,0,NaN,58.985,1013.1,1116.7,0.01,0.015005
0.13,4.9604,82.231,682.88,82.231,682.88,0,0,0,0,0,0,28.61,-80.6,32.127,5.0961,0,0,0,1068.4,319.88,477.65,0.97607,NaN,74.275,NaN,0.073927,5143959,6603,1.8129,0.54159,0.57664,0.41018,0.010704,0.12071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.010528,4,12.566,90,0,NaN,58.982,1013.1,1116.7,0.01,0.015565
0.14,5.8169,89.066,683.9,89.066,683.9,0,0,0,0,0,0,28.61,-80.6,32.127,4.7069,0,0,0,1067.4,318.8,477.39,0.9752,NaN,74.255,NaN,0.080025,5568148,6606,2.108,0.54175,0.57222,0.40979,0.011122,0.12083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011404,4,12.566,90,0,NaN,58.979,1013,1116.7,0.01,0.016514
0.15,6.7418,95.911,684.92,95.911,684.92,0,0,0,0,0,0,28.61,-80.6,32.127,4.3723,0,0,0,1066.3,317.72,477.12,0.97432,NaN,74.236,NaN,0.086136,5993165,6609,2.4269,0.54194,0.56867,0.40943,0.011542,0.12096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01228,4,12.566,90,0,NaN,58.976,1013,1116.7,0.01,0.017965
0.16,7.7352,102.77,685.94,102.77,685.94,0,0,0,0,0,0,28.61,-80.6,32.127,4.0817,0,0,0,1065.2,316.63,476.84,0.97345,NaN,74.216,NaN,0.092258,6418964,6612,2.77,0.54217,0.56579,0.4091,0.011963,0.12111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013158,4,12.566,90,0,NaN,58.972,1013,1116.7,0.01,0.018596
0.17,8.7972,109.63,686.96,109.63,686.96,0,0,0,0,0,0,28.61,-80.6,32.127,3.8269,0,0,0,1064.1,315.55,476.57,0.97257,NaN,74.196,NaN,0.098391,6845512,6615,3.1374,0.54242,0.56345,0.40878,0.012387,0.12126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014037,4,12.566,90,0,NaN,58.969,1012.9,1116.7,0.01,0.019134
0.18,9.9279,116.51,687.98,116.51,687.98,0,0,0,0,0,0,28.61,-80.6,32.127,3.6016,0,0,0,1063,314.47,476.3,0.9717,NaN,74.176,NaN,0.10454,7272780,6618,3.5293,0.54271,0.56154,0.40848,0.012813,0.12142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014917,4,12.566,90,0,NaN,58.965,1012.9,1116.7,0.01,0.019704
0.19,11.127,123.39,688.99,123.39,688.99,0,0,0,0,0,0,28.61,-80.6,32.127,3.4011,0,0,0,1061.9,313.39,476.03,0.97082,NaN,74.156,NaN,0.11069,7700747,6621,3.946,0.54303,0.55998,0.40819,0.01324,0.12159,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015799,4,12.566,90,0,NaN,58.96,1012.9,1116.7,0.01,0.020245
0.2,12.396,130.29,690.01,130.29,690.01,0,0,0,0,0,0,28.61,-80.6,32.127,3.2215,0,0,0,1060.9,312.3,475.76,0.96995,NaN,74.137,NaN,0.11686,8129395,6624.1,4.3876,0.54336,0.55871,0.40792,0.013669,0.12178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.016681,4,12.566,90,0,NaN,58.956,1012.8,1116.7,0.01,0.020811
0.21,13.733,137.19,691.03,137.19,691.03,0,0,0,0,0,0,28.61,-80.6,32.127,3.0597,0,0,0,1059.8,311.22,475.49,0.96907,NaN,74.117,NaN,0.12303,8558708,6627.1,4.8544,0.54373,0.55767,0.40766,0.0141,0.12197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.017566,4,12.566,90,0,NaN,58.951,1012.8,1116.7,0.01,0.021342
# Event LAUNCHROD occurred at t=0.22 seconds
0.22,15.14,144.11,692.04,144.11,692.04,0,0,0,0,0,0.47398,28.61,-80.6,32.127,2.9131,0,0,0,1058.7,310.14,475.22,0.9682,81.728,74.097,1.9077,0.12922,8988675,6630.8,5.3466,0.54411,0.55684,0.4074,0.014533,0.12217,0.43401,0.82841,1.9997e-4,0,0,0,0,0,0.018451,4,12.566,90,0,NaN,58.946,1012.7,1116.7,0.015,0.021985
